OpportunityID,CustomerID,OpportunityStage,CloseDate,ExpectedRevenue,created_at,updated_at
1,2915,prospecting,2024-09-19,33120.21486174134,2024-05-21 07:23:56.005002,2024-05-22 07:23:56.005002
2,2712,won,2024-01-03,48818.20987475379,2024-08-25 07:23:56.005002,2024-09-02 07:23:56.005002
3,4972,prospecting,2023-06-10,25042.848653687524,2023-11-15 07:23:56.005002,2023-11-18 07:23:56.005002
4,1343,won,2024-05-06,41307.63708911585,2024-07-04 07:23:56.005002,2024-07-09 07:23:56.005002
5,2434,won,2024-03-19,16240.681012779816,2024-03-28 07:23:56.005002,2024-04-04 07:23:56.005002
6,4501,negotiation,2024-04-22,19601.73073014204,2024-05-11 07:23:56.005002,2024-05-12 07:23:56.005002
7,1829,won,2024-01-09,15845.44352988396,2024-02-24 07:23:56.005002,2024-02-28 07:23:56.005002
8,4151,prospecting,2022-12-29,20569.09719816688,2024-10-11 07:23:56.005002,2024-10-19 07:23:56.005002
9,4264,won,2024-06-23,38053.7992857387,2023-12-26 07:23:56.005002,2024-01-03 07:23:56.005002
10,4463,negotiation,2023-04-05,21669.89799903077,2024-05-19 07:23:56.005002,2024-05-19 07:23:56.005002
11,1419,won,2023-04-16,45347.81141929555,2024-05-07 07:23:56.005002,2024-05-17 07:23:56.005002
12,1770,won,2023-11-10,28326.16898239876,2024-08-31 07:23:56.005002,2024-09-03 07:23:56.005002
13,2509,prospecting,2023-12-03,43053.12232937127,2024-10-01 07:23:56.005002,2024-10-08 07:23:56.005002
14,921,prospecting,2024-04-13,36269.24729141808,2024-08-23 07:23:56.005002,2024-08-28 07:23:56.005002
15,3469,won,2024-01-29,25387.244685582227,2024-02-13 07:23:56.005002,2024-02-13 07:23:56.005002
16,2312,won,2024-09-27,27736.21292631356,2024-07-08 07:23:56.005002,2024-07-12 07:23:56.005002
17,2986,prospecting,2023-03-05,41716.98215801586,2023-11-29 07:23:56.005002,2023-12-07 07:23:56.005002
18,3280,prospecting,2023-01-25,40113.335287942704,2024-02-04 07:23:56.005002,2024-02-09 07:23:56.005002
19,3862,won,2024-05-16,32986.46888374099,2023-12-11 07:23:56.005002,2023-12-12 07:23:56.005002
20,4890,prospecting,2024-09-30,26496.43463345972,2024-10-26 07:23:56.005002,2024-10-29 07:23:56.005002
21,1694,negotiation,2023-01-31,11934.365531946853,2023-12-31 07:23:56.005002,2024-01-10 07:23:56.005002
22,4088,prospecting,2024-02-22,23130.938854284817,2024-02-27 07:23:56.005002,2024-03-05 07:23:56.005002
23,4081,won,2022-11-25,45318.50050776977,2024-02-20 07:23:56.005002,2024-02-21 07:23:56.005002
24,1434,won,2024-08-27,6287.18277430905,2023-12-16 07:23:56.005002,2023-12-23 07:23:56.005002
25,3078,won,2023-09-21,14944.658437634987,2024-02-09 07:23:56.005002,2024-02-11 07:23:56.005002
26,984,prospecting,2024-06-07,2178.3078886822505,2024-04-01 07:23:56.005002,2024-04-11 07:23:56.005002
27,2641,prospecting,2024-06-05,31496.44548482755,2024-07-18 07:23:56.005002,2024-07-24 07:23:56.005002
28,2545,won,2024-07-10,5385.074145546982,2024-08-15 07:23:56.005002,2024-08-25 07:23:56.005002
29,2043,negotiation,2024-02-25,39068.16463634382,2024-05-17 07:23:56.005002,2024-05-18 07:23:56.005002
30,3235,prospecting,2023-08-22,35912.505449542405,2024-10-19 07:23:56.005002,2024-10-28 07:23:56.005002
31,2642,negotiation,2024-03-14,40009.78614090981,2024-04-11 07:23:56.005002,2024-04-16 07:23:56.005002
32,287,won,2024-06-23,35812.35197333925,2024-08-19 07:23:56.005002,2024-08-27 07:23:56.005002
33,4288,prospecting,2023-06-28,6610.252808022965,2024-08-06 07:23:56.005002,2024-08-13 07:23:56.005002
34,3033,prospecting,2024-01-03,7242.450638184006,2024-03-24 07:23:56.005002,2024-03-25 07:23:56.005002
35,4164,won,2024-06-20,42314.72085043184,2024-01-10 07:23:56.005002,2024-01-11 07:23:56.005002
36,2940,won,2023-06-04,41458.686095806486,2023-12-31 07:23:56.005002,2024-01-02 07:23:56.005002
37,1600,negotiation,2022-12-03,35003.66005032278,2024-03-26 07:23:56.005002,2024-04-04 07:23:56.005002
38,1988,prospecting,2024-08-20,27683.735712865124,2024-06-30 07:23:56.005002,2024-07-09 07:23:56.005002
39,4012,prospecting,2024-02-16,31808.49395758826,2024-10-29 07:23:56.005002,2024-11-04 07:23:56.005002
40,3896,negotiation,2023-07-28,8853.992043752949,2024-07-28 07:23:56.005002,2024-08-04 07:23:56.005002
41,3600,prospecting,2024-08-31,38706.1333104538,2024-10-15 07:23:56.005002,2024-10-24 07:23:56.005002
42,1856,prospecting,2024-05-18,20007.37872488588,2024-01-19 07:23:56.005002,2024-01-20 07:23:56.005002
