OpportunityID,CustomerID,OpportunityStage,CloseDate,ExpectedRevenue
1,2915,prospecting,2024-09-19,33120.21486174134
2,2712,won,2024-01-03,48818.20987475379
3,4972,prospecting,2023-06-10,25042.848653687524
4,1343,won,2024-05-06,41307.63708911585
5,2434,won,2024-03-19,16240.681012779816
6,4501,negotiation,2024-04-22,19601.73073014204
7,1829,won,2024-01-09,15845.44352988396
8,4151,prospecting,2022-12-29,20569.097198166877
9,4264,won,2024-06-23,38053.7992857387
10,4463,negotiation,2023-04-05,21669.89799903077
11,1419,won,2023-04-16,45347.81141929555
12,1770,won,2023-11-10,28326.16898239876
13,2509,prospecting,2023-12-03,43053.12232937127
14,921,prospecting,2024-04-13,36269.247291418076
15,3469,won,2024-01-29,25387.244685582227
16,2312,won,2024-09-27,27736.212926313558
17,2986,prospecting,2023-03-05,41716.98215801586
18,3280,prospecting,2023-01-25,40113.335287942704
19,3862,won,2024-05-16,32986.46888374099
20,4890,prospecting,2024-09-30,26496.43463345972
21,1694,negotiation,2023-01-31,11934.365531946853
22,4088,prospecting,2024-02-22,23130.938854284817
23,4081,won,2022-11-25,45318.50050776977
24,1434,won,2024-08-27,6287.18277430905
25,3078,won,2023-09-21,14944.658437634987
26,984,prospecting,2024-06-07,2178.3078886822505
27,2641,prospecting,2024-06-05,31496.44548482755
28,2545,won,2024-07-10,5385.074145546982
29,2043,negotiation,2024-02-25,39068.16463634382
30,3235,prospecting,2023-08-22,35912.505449542405
31,2642,negotiation,2024-03-14,40009.786140909804
32,287,won,2024-06-23,35812.35197333925
33,4288,prospecting,2023-06-28,6610.252808022965
34,3033,prospecting,2024-01-03,7242.450638184006
35,4164,won,2024-06-20,42314.72085043184
36,2940,won,2023-06-04,41458.686095806486
37,1600,negotiation,2022-12-03,35003.66005032278
38,1988,prospecting,2024-08-20,27683.735712865124
39,4012,prospecting,2024-02-16,31808.49395758826
40,3896,negotiation,2023-07-28,8853.992043752949
41,3600,prospecting,2024-08-31,38706.1333104538
42,1856,prospecting,2024-05-18,20007.37872488588
43,4981,won,2024-09-15,45536.625302525856
44,3652,negotiation,2023-10-15,42745.02987520296
45,4312,won,2023-10-14,8752.063378118739
46,4914,negotiation,2024-07-23,9682.968520527736
47,2376,won,2022-12-19,42571.89652318208
48,2863,won,2023-11-09,18756.427215568452
49,2667,prospecting,2022-11-30,11882.195985713632
50,985,negotiation,2022-12-10,6199.532550415654
51,4242,negotiation,2024-08-29,13133.680435997292
52,613,prospecting,2024-02-19,10870.533293755194
53,4375,won,2024-02-06,40910.72113610589
54,1620,won,2022-11-29,27207.564880314632
55,958,won,2023-12-07,27433.311429980513
56,2867,negotiation,2023-12-17,9378.144632618085
57,1388,won,2024-09-08,39466.030147951285
58,2776,won,2024-02-26,20121.64051845544
59,1831,negotiation,2024-03-25,37710.07232480143
60,3801,prospecting,2024-03-22,11940.731227383643
61,2158,prospecting,2024-06-14,40887.57885973016
62,4837,negotiation,2022-10-27,10095.30097963083
63,101,negotiation,2023-04-03,14259.336883466802
64,1966,won,2023-03-15,7901.815087166917
65,2977,prospecting,2022-11-22,12885.119546441789
66,1656,negotiation,2023-01-01,24747.323245550324
67,4262,negotiation,2024-05-08,26276.62527694907
68,4518,negotiation,2024-08-23,4755.979884663862
69,3180,negotiation,2024-05-30,11515.435112558751
70,2542,won,2023-09-01,8105.775963894952
71,3551,prospecting,2023-02-27,2744.4110337139373
72,4199,won,2023-02-18,35851.41118523337
73,3770,prospecting,2023-09-24,16090.501855641955
74,3106,prospecting,2023-08-10,46464.125368241184
