ActivityID,LeadID,Date,ActivityType,AssignedRepID,created_at,updated_at
1,3069,2023-07-20,call,17,2024-11-11 09:19:27,2024-11-11 09:19:27
2,2599,2023-10-31,call,32,2024-11-11 09:19:27,2024-11-11 09:19:27
3,3064,2023-08-12,call,23,2024-11-11 09:19:27,2024-11-11 09:19:27
4,2412,2023-11-18,meeting,43,2024-11-11 09:19:27,2024-11-11 09:19:27
5,1920,2023-06-25,email,50,2024-11-11 09:19:27,2024-11-11 09:19:27
6,5466,2024-08-28,email,6,2024-11-11 09:19:27,2024-11-11 09:19:27
7,4578,2022-12-07,meeting,9,2024-11-11 09:19:27,2024-11-11 09:19:27
8,605,2022-11-18,meeting,24,2024-11-11 09:19:27,2024-11-11 09:19:27
9,877,2023-02-24,call,42,2024-11-11 09:19:27,2024-11-11 09:19:27
10,4117,2023-12-14,meeting,47,2024-11-11 09:19:27,2024-11-11 09:19:27
11,699,2024-08-09,email,20,2024-11-11 09:19:27,2024-11-11 09:19:27
12,5756,2024-09-05,email,19,2024-11-11 09:19:27,2024-11-11 09:19:27
13,4033,2024-08-17,meeting,9,2024-11-11 09:19:27,2024-11-11 09:19:27
14,9796,2024-01-03,meeting,4,2024-11-11 09:19:27,2024-11-11 09:19:27
15,2947,2024-05-01,call,5,2024-11-11 09:19:27,2024-11-11 09:19:27
16,9466,2022-11-13,email,15,2024-11-11 09:19:27,2024-11-11 09:19:27
17,1145,2024-01-07,call,32,2024-11-11 09:19:27,2024-11-11 09:19:27
18,6440,2024-10-15,email,33,2024-11-11 09:19:27,2024-11-11 09:19:27
19,721,2023-10-23,email,11,2024-11-11 09:19:27,2024-11-11 09:19:27
20,5626,2023-11-27,email,47,2024-11-11 09:19:27,2024-11-11 09:19:27
21,1057,2024-05-13,email,23,2024-11-11 09:19:27,2024-11-11 09:19:27
22,9604,2023-01-18,call,46,2024-11-11 09:19:27,2024-11-11 09:19:27
23,6443,2022-12-08,call,20,2024-11-11 09:19:27,2024-11-11 09:19:27
24,2710,2022-12-21,call,21,2024-11-11 09:19:27,2024-11-11 09:19:27
25,2326,2023-07-02,meeting,33,2024-11-11 09:19:27,2024-11-11 09:19:27
26,2589,2023-08-07,meeting,36,2024-11-11 09:19:27,2024-11-11 09:19:27
27,6521,2023-07-23,call,17,2024-11-11 09:19:27,2024-11-11 09:19:27
28,1347,2024-01-05,email,22,2024-11-11 09:19:27,2024-11-11 09:19:27
