LeadID,CustomerID,LeadSource,CreatedDate,LeadStatus,created_at,updated_at
1,2915,website,2023-08-25,open,2024-11-11 09:19:27,2024-11-11 09:19:27
2,2712,email campaign,2023-10-12,open,2024-11-11 09:19:27,2024-11-11 09:19:27
3,4972,website,2024-06-23,open,2024-11-11 09:19:27,2024-11-11 09:19:27
4,1343,email campaign,2023-03-16,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
5,2434,website,2023-02-12,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
6,4501,email campaign,2023-06-29,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
7,1829,website,2024-02-11,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
8,4151,website,2023-12-13,open,2024-11-11 09:19:27,2024-11-11 09:19:27
9,4264,email campaign,2023-07-09,open,2024-11-11 09:19:27,2024-11-11 09:19:27
10,4463,website,2024-04-01,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
11,1419,website,2024-01-10,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
12,1770,email campaign,2024-03-13,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
13,2509,website,2024-07-21,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
14,921,website,2023-04-01,open,2024-11-11 09:19:27,2024-11-11 09:19:27
15,3469,email campaign,2024-04-25,open,2024-11-11 09:19:27,2024-11-11 09:19:27
16,2312,website,2023-04-23,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
17,2986,website,2023-10-18,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
18,3280,email campaign,2023-12-10,open,2024-11-11 09:19:27,2024-11-11 09:19:27
19,3862,website,2023-02-10,open,2024-11-11 09:19:27,2024-11-11 09:19:27
20,4890,website,2024-06-22,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
21,1694,website,2023-08-14,open,2024-11-11 09:19:27,2024-11-11 09:19:27
22,4088,website,2024-07-06,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
23,4081,email campaign,2024-09-18,open,2024-11-11 09:19:27,2024-11-11 09:19:27
24,1434,website,2023-08-13,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
25,3078,email campaign,2022-10-23,open,2024-11-11 09:19:27,2024-11-11 09:19:27
26,984,website,2024-07-16,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
27,2641,website,2023-02-02,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
28,2545,email campaign,2023-03-01,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
29,2043,website,2023-12-21,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
30,3235,website,2024-08-14,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
31,2642,website,2022-11-13,open,2024-11-11 09:19:27,2024-11-11 09:19:27
32,287,website,2024-04-25,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
33,4288,email campaign,2023-06-04,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
34,3033,website,2024-01-08,open,2024-11-11 09:19:27,2024-11-11 09:19:27
35,4164,email campaign,2023-07-23,open,2024-11-11 09:19:27,2024-11-11 09:19:27
36,2940,email campaign,2024-02-11,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
37,1600,website,2023-08-16,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
38,1988,website,2023-04-05,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
39,4012,website,2023-02-13,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
40,3896,email campaign,2024-07-29,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
41,3600,email campaign,2023-05-25,closed,2024-11-11 09:19:27,2024-11-11 09:19:27
42,1856,email campaign,2022-11-15,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
43,4981,website,2023-09-27,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
44,3652,website,2024-07-20,open,2024-11-11 09:19:27,2024-11-11 09:19:27
45,4312,website,2023-07-10,open,2024-11-11 09:19:27,2024-11-11 09:19:27
46,4914,website,2024-02-20,open,2024-11-11 09:19:27,2024-11-11 09:19:27
47,2376,website,2024-01-20,converted,2024-11-11 09:19:27,2024-11-11 09:19:27
48,2863,email campaign,2023-11-30,open,2024-11-11 09:19:27,2024-11-11 09:19:27
49,2667,email campaign,2024-09-27,open,2024-11-11 09:19:27,2024-11-11 09:19:27
50,985,website,2023-09-28,open,2024-11-11 09:19:27,2024-11-11 09:19:27
51,4242,website,2024-09-27,open,2024-11-11 09:19:27,2024-11-11 09:19:27
