OpportunityID,CustomerID,OpportunityStage,CloseDate,ExpectedRevenue,created_at,updated_at
1,2915,prospecting,2024-09-19,33120.21486174134,2024-11-11 09:19:27,2024-11-11 09:19:27
2,2712,won,2024-01-03,48818.20987475379,2024-11-11 09:19:27,2024-11-11 09:19:27
3,4972,prospecting,2023-06-10,25042.848653687524,2024-11-11 09:19:27,2024-11-11 09:19:27
4,1343,won,2024-05-06,41307.63708911585,2024-11-11 09:19:27,2024-11-11 09:19:27
5,2434,won,2024-03-19,16240.681012779816,2024-11-11 09:19:27,2024-11-11 09:19:27
6,4501,negotiation,2024-04-22,19601.73073014204,2024-11-11 09:19:27,2024-11-11 09:19:27
7,1829,won,2024-01-09,15845.44352988396,2024-11-11 09:19:27,2024-11-11 09:19:27
8,4151,prospecting,2022-12-29,20569.09719816688,2024-11-11 09:19:27,2024-11-11 09:19:27
9,4264,won,2024-06-23,38053.7992857387,2024-11-11 09:19:27,2024-11-11 09:19:27
10,4463,negotiation,2023-04-05,21669.89799903077,2024-11-11 09:19:27,2024-11-11 09:19:27
11,1419,won,2023-04-16,45347.81141929555,2024-11-11 09:19:27,2024-11-11 09:19:27
12,1770,won,2023-11-10,28326.16898239876,2024-11-11 09:19:27,2024-11-11 09:19:27
13,2509,prospecting,2023-12-03,43053.12232937127,2024-11-11 09:19:27,2024-11-11 09:19:27
14,921,prospecting,2024-04-13,36269.24729141808,2024-11-11 09:19:27,2024-11-11 09:19:27
15,3469,won,2024-01-29,25387.244685582227,2024-11-11 09:19:27,2024-11-11 09:19:27
16,2312,won,2024-09-27,27736.21292631356,2024-11-11 09:19:27,2024-11-11 09:19:27
17,2986,prospecting,2023-03-05,41716.98215801586,2024-11-11 09:19:27,2024-11-11 09:19:27
18,3280,prospecting,2023-01-25,40113.335287942704,2024-11-11 09:19:27,2024-11-11 09:19:27
19,3862,won,2024-05-16,32986.46888374099,2024-11-11 09:19:27,2024-11-11 09:19:27
20,4890,prospecting,2024-09-30,26496.43463345972,2024-11-11 09:19:27,2024-11-11 09:19:27
21,1694,negotiation,2023-01-31,11934.365531946853,2024-11-11 09:19:27,2024-11-11 09:19:27
22,4088,prospecting,2024-02-22,23130.938854284817,2024-11-11 09:19:27,2024-11-11 09:19:27
23,4081,won,2022-11-25,45318.50050776977,2024-11-11 09:19:27,2024-11-11 09:19:27
24,1434,won,2024-08-27,6287.18277430905,2024-11-11 09:19:27,2024-11-11 09:19:27
25,3078,won,2023-09-21,14944.658437634987,2024-11-11 09:19:27,2024-11-11 09:19:27
26,984,prospecting,2024-06-07,2178.3078886822505,2024-11-11 09:19:27,2024-11-11 09:19:27
27,2641,prospecting,2024-06-05,31496.44548482755,2024-11-11 09:19:27,2024-11-11 09:19:27
28,2545,won,2024-07-10,5385.074145546982,2024-11-11 09:19:27,2024-11-11 09:19:27
29,2043,negotiation,2024-02-25,39068.16463634382,2024-11-11 09:19:27,2024-11-11 09:19:27
30,3235,prospecting,2023-08-22,35912.505449542405,2024-11-11 09:19:27,2024-11-11 09:19:27
31,2642,negotiation,2024-03-14,40009.78614090981,2024-11-11 09:19:27,2024-11-11 09:19:27
32,287,won,2024-06-23,35812.35197333925,2024-11-11 09:19:27,2024-11-11 09:19:27
33,4288,prospecting,2023-06-28,6610.252808022965,2024-11-11 09:19:27,2024-11-11 09:19:27
34,3033,prospecting,2024-01-03,7242.450638184006,2024-11-11 09:19:27,2024-11-11 09:19:27
35,4164,won,2024-06-20,42314.72085043184,2024-11-11 09:19:27,2024-11-11 09:19:27
36,2940,won,2023-06-04,41458.686095806486,2024-11-11 09:19:27,2024-11-11 09:19:27
37,1600,negotiation,2022-12-03,35003.66005032278,2024-11-11 09:19:27,2024-11-11 09:19:27
38,1988,prospecting,2024-08-20,27683.735712865124,2024-11-11 09:19:27,2024-11-11 09:19:27
39,4012,prospecting,2024-02-16,31808.49395758826,2024-11-11 09:19:27,2024-11-11 09:19:27
40,3896,negotiation,2023-07-28,8853.992043752949,2024-11-11 09:19:27,2024-11-11 09:19:27
41,3600,prospecting,2024-08-31,38706.1333104538,2024-11-11 09:19:27,2024-11-11 09:19:27
42,1856,prospecting,2024-05-18,20007.37872488588,2024-11-11 09:19:27,2024-11-11 09:19:27
43,4981,won,2024-09-15,45536.625302525856,2024-11-11 09:19:27,2024-11-11 09:19:27
44,3652,negotiation,2023-10-15,42745.02987520296,2024-11-11 09:19:27,2024-11-11 09:19:27
45,4312,won,2023-10-14,8752.063378118739,2024-11-11 09:19:27,2024-11-11 09:19:27
46,4914,negotiation,2024-07-23,9682.968520527736,2024-11-11 09:19:27,2024-11-11 09:19:27
47,2376,won,2022-12-19,42571.89652318208,2024-11-11 09:19:27,2024-11-11 09:19:27
48,2863,won,2023-11-09,18756.42721556845,2024-11-11 09:19:27,2024-11-11 09:19:27
49,2667,prospecting,2022-11-30,11882.195985713632,2024-11-11 09:19:27,2024-11-11 09:19:27
50,985,negotiation,2022-12-10,6199.532550415654,2024-11-11 09:19:27,2024-11-11 09:19:27
51,4242,negotiation,2024-08-29,13133.680435997292,2024-11-11 09:19:27,2024-11-11 09:19:27
52,613,prospecting,2024-02-19,10870.533293755194,2024-11-11 09:19:27,2024-11-11 09:19:27
53,4375,won,2024-02-06,40910.72113610589,2024-11-11 09:19:27,2024-11-11 09:19:27
54,1620,won,2022-11-29,27207.564880314632,2024-11-11 09:19:27,2024-11-11 09:19:27
55,958,won,2023-12-07,27433.31142998052,2024-11-11 09:19:27,2024-11-11 09:19:27
56,2867,negotiation,2023-12-17,9378.144632618085,2024-11-11 09:19:27,2024-11-11 09:19:27
57,1388,won,2024-09-08,39466.030147951285,2024-11-11 09:19:27,2024-11-11 09:19:27
58,2776,won,2024-02-26,20121.64051845544,2024-11-11 09:19:27,2024-11-11 09:19:27
59,1831,negotiation,2024-03-25,37710.07232480143,2024-11-11 09:19:27,2024-11-11 09:19:27
60,3801,prospecting,2024-03-22,11940.731227383643,2024-11-11 09:19:27,2024-11-11 09:19:27
61,2158,prospecting,2024-06-14,40887.57885973016,2024-11-11 09:19:27,2024-11-11 09:19:27
62,4837,negotiation,2022-10-27,10095.30097963083,2024-11-11 09:19:27,2024-11-11 09:19:27
63,101,negotiation,2023-04-03,14259.336883466802,2024-11-11 09:19:27,2024-11-11 09:19:27
64,1966,won,2023-03-15,7901.815087166917,2024-11-11 09:19:27,2024-11-11 09:19:27
65,2977,prospecting,2022-11-22,12885.119546441789,2024-11-11 09:19:27,2024-11-11 09:19:27
66,1656,negotiation,2023-01-01,24747.323245550324,2024-11-11 09:19:27,2024-11-11 09:19:27
67,4262,negotiation,2024-05-08,26276.62527694907,2024-11-11 09:19:27,2024-11-11 09:19:27
68,4518,negotiation,2024-08-23,4755.979884663862,2024-11-11 09:19:27,2024-11-11 09:19:27
69,3180,negotiation,2024-05-30,11515.435112558753,2024-11-11 09:19:27,2024-11-11 09:19:27
70,2542,won,2023-09-01,8105.775963894952,2024-11-11 09:19:27,2024-11-11 09:19:27
71,3551,prospecting,2023-02-27,2744.4110337139373,2024-11-11 09:19:27,2024-11-11 09:19:27
72,4199,won,2023-02-18,35851.41118523337,2024-11-11 09:19:27,2024-11-11 09:19:27
73,3770,prospecting,2023-09-24,16090.501855641956,2024-11-11 09:19:27,2024-11-11 09:19:27
74,3106,prospecting,2023-08-10,46464.125368241184,2024-11-11 09:19:27,2024-11-11 09:19:27
75,4030,won,2022-11-10,39927.82210298518,2024-11-11 09:19:27,2024-11-11 09:19:27
