StageID,OpportunityID,StageName,StageStartDate,StageEndDate,created_at,updated_at
1,8193,negotiation,2024-09-18,2023-04-15,2024-11-11 09:19:27,2024-11-11 09:19:27
2,3625,proposal,2024-10-02,2023-07-07,2024-11-11 09:19:27,2024-11-11 09:19:27
3,5382,proposal,2022-12-15,2024-02-18,2024-11-11 09:19:27,2024-11-11 09:19:27
4,2172,discovery,2022-12-02,2024-04-28,2024-11-11 09:19:27,2024-11-11 09:19:27
5,4307,negotiation,2023-04-26,2023-04-19,2024-11-11 09:19:27,2024-11-11 09:19:27
6,5336,proposal,2023-05-24,2024-08-15,2024-11-11 09:19:27,2024-11-11 09:19:27
7,2031,discovery,2024-07-04,2024-05-27,2024-11-11 09:19:27,2024-11-11 09:19:27
8,9146,discovery,2023-10-02,2024-09-08,2024-11-11 09:19:27,2024-11-11 09:19:27
9,2218,negotiation,2023-02-19,2023-07-26,2024-11-11 09:19:27,2024-11-11 09:19:27
10,9332,proposal,2023-04-01,2023-10-11,2024-11-11 09:19:27,2024-11-11 09:19:27
11,6702,proposal,2024-10-18,2023-06-13,2024-11-11 09:19:27,2024-11-11 09:19:27
12,1753,negotiation,2024-03-28,2024-06-12,2024-11-11 09:19:27,2024-11-11 09:19:27
13,1426,discovery,2024-06-17,2023-03-26,2024-11-11 09:19:27,2024-11-11 09:19:27
14,9085,proposal,2024-08-31,2023-01-19,2024-11-11 09:19:27,2024-11-11 09:19:27
15,3728,proposal,2024-05-09,2023-11-07,2024-11-11 09:19:27,2024-11-11 09:19:27
16,7015,negotiation,2024-06-21,2023-03-23,2024-11-11 09:19:27,2024-11-11 09:19:27
17,8946,proposal,2024-08-21,2024-10-03,2024-11-11 09:19:27,2024-11-11 09:19:27
18,5510,discovery,2023-01-10,2024-08-09,2024-11-11 09:19:27,2024-11-11 09:19:27
19,4713,negotiation,2024-07-04,2024-10-21,2024-11-11 09:19:27,2024-11-11 09:19:27
20,8490,negotiation,2024-06-19,2024-10-09,2024-11-11 09:19:27,2024-11-11 09:19:27
21,5288,discovery,2023-10-14,2024-06-29,2024-11-11 09:19:27,2024-11-11 09:19:27
22,9323,negotiation,2022-12-09,2023-10-24,2024-11-11 09:19:27,2024-11-11 09:19:27
23,1556,proposal,2024-07-15,2023-03-29,2024-11-11 09:19:27,2024-11-11 09:19:27
24,1388,proposal,2023-04-06,2022-12-24,2024-11-11 09:19:27,2024-11-11 09:19:27
25,3079,proposal,2024-03-18,2023-07-16,2024-11-11 09:19:27,2024-11-11 09:19:27
26,3805,negotiation,2024-04-16,2023-10-12,2024-11-11 09:19:27,2024-11-11 09:19:27
27,9709,negotiation,2023-09-15,2023-08-10,2024-11-11 09:19:27,2024-11-11 09:19:27
28,6746,proposal,2022-11-27,2023-11-26,2024-11-11 09:19:27,2024-11-11 09:19:27
29,8896,negotiation,2024-10-04,2023-06-21,2024-11-11 09:19:27,2024-11-11 09:19:27
30,2056,negotiation,2023-11-02,2022-11-15,2024-11-11 09:19:27,2024-11-11 09:19:27
31,2286,proposal,2023-12-05,2024-09-23,2024-11-11 09:19:27,2024-11-11 09:19:27
32,678,negotiation,2023-08-12,2024-07-17,2024-11-11 09:19:27,2024-11-11 09:19:27
33,6147,negotiation,2024-09-25,2023-02-08,2024-11-11 09:19:27,2024-11-11 09:19:27
34,1465,negotiation,2024-05-21,2023-04-09,2024-11-11 09:19:27,2024-11-11 09:19:27
35,7473,discovery,2023-07-07,2024-05-23,2024-11-11 09:19:27,2024-11-11 09:19:27
36,6301,discovery,2024-07-21,2023-09-02,2024-11-11 09:19:27,2024-11-11 09:19:27
37,1256,proposal,2023-04-26,2023-03-25,2024-11-11 09:19:27,2024-11-11 09:19:27
38,5634,proposal,2024-07-11,2024-01-23,2024-11-11 09:19:27,2024-11-11 09:19:27
39,6834,proposal,2024-09-04,2024-04-14,2024-11-11 09:19:27,2024-11-11 09:19:27
40,3077,discovery,2024-03-19,2023-08-04,2024-11-11 09:19:27,2024-11-11 09:19:27
41,2531,proposal,2024-07-20,2023-01-07,2024-11-11 09:19:27,2024-11-11 09:19:27
42,9392,negotiation,2023-02-04,2024-06-26,2024-11-11 09:19:27,2024-11-11 09:19:27
43,5034,negotiation,2023-10-06,2023-09-30,2024-11-11 09:19:27,2024-11-11 09:19:27
44,4400,discovery,2023-09-14,2023-05-16,2024-11-11 09:19:27,2024-11-11 09:19:27
45,5120,discovery,2023-09-15,2023-10-25,2024-11-11 09:19:27,2024-11-11 09:19:27
46,5512,proposal,2023-07-10,2022-12-09,2024-11-11 09:19:27,2024-11-11 09:19:27
47,7427,discovery,2023-02-02,2024-09-02,2024-11-11 09:19:27,2024-11-11 09:19:27
48,5158,negotiation,2023-07-20,2023-04-25,2024-11-11 09:19:27,2024-11-11 09:19:27
49,8712,discovery,2024-02-04,2023-11-19,2024-11-11 09:19:27,2024-11-11 09:19:27
50,9441,proposal,2024-06-07,2023-09-28,2024-11-11 09:19:27,2024-11-11 09:19:27
51,1324,proposal,2023-11-01,2023-03-15,2024-11-11 09:19:27,2024-11-11 09:19:27
52,8748,discovery,2024-07-24,2023-10-30,2024-11-11 09:19:27,2024-11-11 09:19:27
53,7129,proposal,2022-12-31,2024-06-05,2024-11-11 09:19:27,2024-11-11 09:19:27
54,6652,discovery,2023-05-09,2023-03-25,2024-11-11 09:19:27,2024-11-11 09:19:27
55,828,discovery,2022-10-30,2024-02-02,2024-11-11 09:19:27,2024-11-11 09:19:27
56,1638,proposal,2023-11-08,2024-02-05,2024-11-11 09:19:27,2024-11-11 09:19:27
57,175,negotiation,2023-04-28,2023-03-16,2024-11-11 09:19:27,2024-11-11 09:19:27
58,9789,negotiation,2023-11-23,2023-02-07,2024-11-11 09:19:27,2024-11-11 09:19:27
59,9733,proposal,2022-11-01,2024-10-15,2024-11-11 09:19:27,2024-11-11 09:19:27
60,161,discovery,2023-11-04,2024-10-02,2024-11-11 09:19:27,2024-11-11 09:19:27
61,2614,proposal,2022-12-10,2024-07-31,2024-11-11 09:19:27,2024-11-11 09:19:27
62,7186,discovery,2024-04-26,2024-07-12,2024-11-11 09:19:27,2024-11-11 09:19:27
63,6280,proposal,2024-05-17,2023-10-17,2024-11-11 09:19:27,2024-11-11 09:19:27
64,2777,proposal,2023-11-05,2024-04-22,2024-11-11 09:19:27,2024-11-11 09:19:27
65,652,proposal,2024-06-19,2023-07-06,2024-11-11 09:19:27,2024-11-11 09:19:27
66,7756,proposal,2023-11-02,2023-03-15,2024-11-11 09:19:27,2024-11-11 09:19:27
67,7748,proposal,2023-02-06,2023-05-11,2024-11-11 09:19:27,2024-11-11 09:19:27
68,8180,negotiation,2022-12-18,2023-04-16,2024-11-11 09:19:27,2024-11-11 09:19:27
69,2709,discovery,2022-10-27,2023-06-05,2024-11-11 09:19:27,2024-11-11 09:19:27
70,7140,proposal,2023-05-20,2024-06-02,2024-11-11 09:19:27,2024-11-11 09:19:27
71,5919,proposal,2024-09-19,2024-03-14,2024-11-11 09:19:27,2024-11-11 09:19:27
72,2799,negotiation,2024-09-29,2023-05-19,2024-11-11 09:19:27,2024-11-11 09:19:27
73,2594,negotiation,2024-03-12,2022-12-19,2024-11-11 09:19:27,2024-11-11 09:19:27
74,9361,discovery,2023-08-04,2023-01-15,2024-11-11 09:19:27,2024-11-11 09:19:27
75,9160,discovery,2023-06-28,2023-08-03,2024-11-11 09:19:27,2024-11-11 09:19:27
76,5288,proposal,2024-07-17,2022-12-03,2024-11-11 09:19:27,2024-11-11 09:19:27
77,9748,proposal,2023-10-14,2023-08-08,2024-11-11 09:19:27,2024-11-11 09:19:27
78,8641,discovery,2023-01-05,2024-01-30,2024-11-11 09:19:27,2024-11-11 09:19:27
79,8484,proposal,2024-07-08,2023-05-31,2024-11-11 09:19:27,2024-11-11 09:19:27
80,8911,proposal,2023-06-27,2023-10-11,2024-11-11 09:19:27,2024-11-11 09:19:27
81,2880,negotiation,2024-05-21,2023-03-03,2024-11-11 09:19:27,2024-11-11 09:19:27
82,5272,negotiation,2023-03-21,2024-10-06,2024-11-11 09:19:27,2024-11-11 09:19:27
83,3247,discovery,2023-04-17,2024-09-14,2024-11-11 09:19:27,2024-11-11 09:19:27
84,9580,proposal,2024-06-26,2023-01-12,2024-11-11 09:19:27,2024-11-11 09:19:27
85,9415,negotiation,2024-01-25,2024-06-19,2024-11-11 09:19:27,2024-11-11 09:19:27
86,7072,negotiation,2024-10-17,2023-11-14,2024-11-11 09:19:27,2024-11-11 09:19:27
87,3525,proposal,2023-01-11,2023-01-05,2024-11-11 09:19:27,2024-11-11 09:19:27
88,5588,negotiation,2024-03-17,2024-09-22,2024-11-11 09:19:27,2024-11-11 09:19:27
89,4012,discovery,2024-05-13,2023-07-09,2024-11-11 09:19:27,2024-11-11 09:19:27
90,56,discovery,2024-04-26,2023-08-27,2024-11-11 09:19:27,2024-11-11 09:19:27
91,8377,proposal,2024-09-21,2023-08-07,2024-11-11 09:19:27,2024-11-11 09:19:27
92,3086,discovery,2024-03-26,2024-04-05,2024-11-11 09:19:27,2024-11-11 09:19:27
93,7542,proposal,2022-12-16,2022-11-10,2024-11-11 09:19:27,2024-11-11 09:19:27
94,9471,negotiation,2022-12-05,2024-09-03,2024-11-11 09:19:27,2024-11-11 09:19:27
95,4142,discovery,2024-02-29,2023-07-30,2024-11-11 09:19:27,2024-11-11 09:19:27
96,5308,discovery,2024-06-07,2023-05-29,2024-11-11 09:19:27,2024-11-11 09:19:27
97,2661,discovery,2023-02-27,2024-03-25,2024-11-11 09:19:27,2024-11-11 09:19:27
98,2647,proposal,2023-11-28,2023-02-06,2024-11-11 09:19:27,2024-11-11 09:19:27
99,3634,negotiation,2023-05-11,2023-03-08,2024-11-11 09:19:27,2024-11-11 09:19:27
100,3747,discovery,2023-02-03,2024-10-18,2024-11-11 09:19:27,2024-11-11 09:19:27
101,3322,discovery,2022-11-26,2023-11-12,2024-11-11 09:19:27,2024-11-11 09:19:27
102,1620,negotiation,2023-05-02,2024-02-23,2024-11-11 09:19:27,2024-11-11 09:19:27
103,2705,negotiation,2024-05-22,2022-10-24,2024-11-11 09:19:27,2024-11-11 09:19:27
104,4676,negotiation,2024-05-16,2024-08-29,2024-11-11 09:19:27,2024-11-11 09:19:27
105,481,discovery,2023-12-11,2024-02-24,2024-11-11 09:19:27,2024-11-11 09:19:27
106,8210,discovery,2023-03-01,2022-11-30,2024-11-11 09:19:27,2024-11-11 09:19:27
107,6548,negotiation,2024-02-16,2023-02-16,2024-11-11 09:19:27,2024-11-11 09:19:27
108,5827,negotiation,2023-12-14,2023-07-02,2024-11-11 09:19:27,2024-11-11 09:19:27
109,665,proposal,2024-02-06,2024-07-12,2024-11-11 09:19:27,2024-11-11 09:19:27
110,2552,proposal,2024-04-28,2024-02-18,2024-11-11 09:19:27,2024-11-11 09:19:27
111,5365,negotiation,2024-04-26,2023-09-14,2024-11-11 09:19:27,2024-11-11 09:19:27
112,3354,proposal,2024-08-17,2023-10-31,2024-11-11 09:19:27,2024-11-11 09:19:27
113,6416,negotiation,2023-06-17,2024-06-24,2024-11-11 09:19:27,2024-11-11 09:19:27
114,9911,proposal,2023-03-13,2024-06-15,2024-11-11 09:19:27,2024-11-11 09:19:27
115,6492,discovery,2023-07-09,2024-02-06,2024-11-11 09:19:27,2024-11-11 09:19:27
116,8300,negotiation,2023-07-04,2023-06-24,2024-11-11 09:19:27,2024-11-11 09:19:27
117,5062,proposal,2023-01-01,2023-05-28,2024-11-11 09:19:27,2024-11-11 09:19:27
118,1590,discovery,2023-03-29,2024-07-23,2024-11-11 09:19:27,2024-11-11 09:19:27
119,8436,discovery,2024-04-29,2024-10-04,2024-11-11 09:19:27,2024-11-11 09:19:27
120,6085,proposal,2023-12-05,2023-12-27,2024-11-11 09:19:27,2024-11-11 09:19:27
121,1753,negotiation,2023-10-26,2023-02-11,2024-11-11 09:19:27,2024-11-11 09:19:27
